Case Number,Case,Year,Offence,Outcome
625,CASE 625,2012/13,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
625,CASE 625,2012/13,Plagiarism and/or purchased essay,Notation on transcript
625,CASE 625,2012/13,Plagiarism and/or purchased essay,Suspension
625,CASE 625,2012/13,Unauthorized aid,Grade Assignment of 0 for course
625,CASE 625,2012/13,Unauthorized aid,Notation on transcript
625,CASE 625,2012/13,Unauthorized aid,Suspension
627,CASE 627,2011/12,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
627,CASE 627,2011/12,Creating false data and/or fabricating academic sources,Notation on transcript
627,CASE 627,2011/12,Creating false data and/or fabricating academic sources,Suspension
627,CASE 627,2011/12,Impersonation,Grade Assignment of 0 for course
627,CASE 627,2011/12,Impersonation,Notation on transcript
627,CASE 627,2011/12,Impersonation,Suspension
628,CASE 628,2011/12,Forgery of Documents,Grade Assignment of 0 for course
628,CASE 628,2011/12,Forgery of Documents,Notation on transcript
628,CASE 628,2011/12,Forgery of Documents,Suspension
631,CASE 631,2011/12,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
631,CASE 631,2011/12,Plagiarism and/or purchased essay,Notation on transcript
631,CASE 631,2011/12,Plagiarism and/or purchased essay,Suspension
632,CASE 632,2011/12,Forgery of Documents,Grade Assignment of 0 for course
632,CASE 632,2011/12,Forgery of Documents,Notation on transcript
632,CASE 632,2011/12,Forgery of Documents,Suspension
633,CASE 633,2011/12,Forgery of Documents,Grade Assignment of 0 for course
633,CASE 633,2011/12,Forgery of Documents,Notation on transcript
633,CASE 633,2011/12,Forgery of Documents,Suspension
635,CASE 635,2011/12,Unauthorized aid,Grade Assignment of 0 for course
635,CASE 635,2011/12,Unauthorized aid,Notation on transcript
635,CASE 635,2011/12,Unauthorized aid,Suspension
636,CASE 636,2011/12,Forgery of Documents,Expulsion
636,CASE 636,2011/12,Forgery of Documents,Grade Assignment of 0 for course
636,CASE 636,2011/12,Forgery of Documents,Suspension
638,Case 638 - Finding,2013/14,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
638,Case 638 - Finding,2013/14,Academic Dishonesty Not Otherwise Described,Notation on transcript
638,Case 638 - Finding,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
638,Case 638 - Finding,2013/14,Unauthorized aid,Grade Assignment of 0 for course
638,Case 638 - Finding,2013/14,Unauthorized aid,Notation on transcript
638,Case 638 - Finding,2013/14,Unauthorized aid,Suspension
639,CASE 639,2011/12,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
639,CASE 639,2011/12,Creating false data and/or fabricating academic sources,Notation on transcript
639,CASE 639,2011/12,Creating false data and/or fabricating academic sources,Suspension
639,CASE 639,2011/12,Forgery of Documents,Grade Assignment of 0 for course
639,CASE 639,2011/12,Forgery of Documents,Notation on transcript
639,CASE 639,2011/12,Forgery of Documents,Suspension
642,CASE 642,2010/11,Forgery of Documents,Expulsion
642,CASE 642,2010/11,Forgery of Documents,Grade Assignment of 0 for course
642,CASE 642,2010/11,Forgery of Documents,Suspension
644,CASE 644,2011/12,Unauthorized aid,Acquittal
645,CASE 645,2011/12,Plagiarism and/or purchased essay,Expulsion
645,CASE 645,2011/12,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
646,CASE 646,2012/13,Forgery of Documents,Expulsion
646,CASE 646,2012/13,Forgery of Documents,Grade Assignment of 0 for course
646,CASE 646,2012/13,Forgery of Documents,Suspension
647,CASE 647,2011/12,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
647,CASE 647,2011/12,Plagiarism and/or purchased essay,Notation on transcript
647,CASE 647,2011/12,Plagiarism and/or purchased essay,Suspension
648,Case 648,2013/14,Unauthorized aid,Grade Assignment of 0 for course
648,Case 648,2013/14,Unauthorized aid,Notation on transcript
648,Case 648,2013/14,Unauthorized aid,Suspension
651,CASE 651,2011/12,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
651,CASE 651,2011/12,Plagiarism and/or purchased essay,Suspension
652,CASE 652,2011/12,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
652,CASE 652,2011/12,Creating false data and/or fabricating academic sources,Notation on transcript
652,CASE 652,2011/12,Creating false data and/or fabricating academic sources,Suspension
652,CASE 652,2011/12,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
652,CASE 652,2011/12,Plagiarism and/or purchased essay,Notation on transcript
652,CASE 652,2011/12,Plagiarism and/or purchased essay,Suspension
654,CASE 654,2011/12,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
654,CASE 654,2011/12,Creating false data and/or fabricating academic sources,Notation on transcript
654,CASE 654,2011/12,Creating false data and/or fabricating academic sources,Suspension
654,CASE 654,2011/12,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
654,CASE 654,2011/12,Plagiarism and/or purchased essay,Notation on transcript
654,CASE 654,2011/12,Plagiarism and/or purchased essay,Suspension
655,CASE 655,2012/13,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
655,CASE 655,2012/13,Academic Dishonesty Not Otherwise Described,Notation on transcript
655,CASE 655,2012/13,Academic Dishonesty Not Otherwise Described,Reduced Grade
655,CASE 655,2012/13,Academic Dishonesty Not Otherwise Described,Suspension
655,CASE 655,2012/13,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
655,CASE 655,2012/13,Plagiarism and/or purchased essay,Notation on transcript
655,CASE 655,2012/13,Plagiarism and/or purchased essay,Reduced Grade
655,CASE 655,2012/13,Plagiarism and/or purchased essay,Suspension
655,CASE 655,2012/13,Unauthorized aid,Grade Assignment of 0 for course
655,CASE 655,2012/13,Unauthorized aid,Notation on transcript
655,CASE 655,2012/13,Unauthorized aid,Reduced Grade
655,CASE 655,2012/13,Unauthorized aid,Suspension
658,CASE 658,2011/12,Forgery of Documents,Grade Assignment of 0 for course
658,CASE 658,2011/12,Forgery of Documents,Notation on transcript
658,CASE 658,2011/12,Forgery of Documents,Suspension
659,CASE 659,2011/12,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
659,CASE 659,2011/12,Plagiarism and/or purchased essay,Notation on transcript
659,CASE 659,2011/12,Plagiarism and/or purchased essay,Suspension
660,CASE 660,2011/12,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
660,CASE 660,2011/12,Plagiarism and/or purchased essay,Notation on transcript
660,CASE 660,2011/12,Plagiarism and/or purchased essay,Suspension
661,CASE 661,2011/12,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
661,CASE 661,2011/12,Plagiarism and/or purchased essay,Notation on transcript
661,CASE 661,2011/12,Plagiarism and/or purchased essay,Suspension
663,CASE 663,2012/13,Academic Dishonesty Not Otherwise Described,Expulsion
663,CASE 663,2012/13,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
663,CASE 663,2012/13,Academic Dishonesty Not Otherwise Described,Suspension
663,CASE 663,2012/13,Impersonation,Expulsion
663,CASE 663,2012/13,Impersonation,Grade Assignment of 0 for course
663,CASE 663,2012/13,Impersonation,Suspension
668,CASE 668,2011/12,Unauthorized aid,Acquittal
671,Case 671,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
671,Case 671,2013/14,Plagiarism and/or purchased essay,Notation on transcript
671,Case 671,2013/14,Plagiarism and/or purchased essay,Suspension
672,CASE 672,2012/13,Forgery of Documents,Expulsion
672,CASE 672,2012/13,Forgery of Documents,Grade Assignment of 0 for course
672,CASE 672,2012/13,Forgery of Documents,Suspension
672,CASE 672,2012/13,Plagiarism and/or purchased essay,Expulsion
672,CASE 672,2012/13,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
672,CASE 672,2012/13,Plagiarism and/or purchased essay,Suspension
673,CASE 673,2012/13,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
673,CASE 673,2012/13,Academic Dishonesty Not Otherwise Described,Notation on transcript
673,CASE 673,2012/13,Academic Dishonesty Not Otherwise Described,Suspension
673,CASE 673,2012/13,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
673,CASE 673,2012/13,Creating false data and/or fabricating academic sources,Notation on transcript
673,CASE 673,2012/13,Creating false data and/or fabricating academic sources,Suspension
673,CASE 673,2012/13,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
673,CASE 673,2012/13,Plagiarism and/or purchased essay,Notation on transcript
673,CASE 673,2012/13,Plagiarism and/or purchased essay,Suspension
674,CASE 674,2012/13,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
674,CASE 674,2012/13,Academic Dishonesty Not Otherwise Described,Notation on transcript
674,CASE 674,2012/13,Academic Dishonesty Not Otherwise Described,Suspension
674,CASE 674,2012/13,Forgery of Documents,Grade Assignment of 0 for course
674,CASE 674,2012/13,Forgery of Documents,Notation on transcript
674,CASE 674,2012/13,Forgery of Documents,Suspension
675,Case 675,2013/14,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
675,Case 675,2013/14,Academic Dishonesty Not Otherwise Described,Notation on transcript
675,Case 675,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
675,Case 675,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
675,Case 675,2013/14,Plagiarism and/or purchased essay,Notation on transcript
675,Case 675,2013/14,Plagiarism and/or purchased essay,Suspension
676,CASE 676,2012/13,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
676,CASE 676,2012/13,Creating false data and/or fabricating academic sources,Notation on transcript
676,CASE 676,2012/13,Creating false data and/or fabricating academic sources,Suspension
676,CASE 676,2012/13,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
676,CASE 676,2012/13,Plagiarism and/or purchased essay,Notation on transcript
676,CASE 676,2012/13,Plagiarism and/or purchased essay,Suspension
681,CASE 681,2012/13,Creating false data and/or fabricating academic sources,Expulsion
681,CASE 681,2012/13,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
681,CASE 681,2012/13,Creating false data and/or fabricating academic sources,Suspension
681,CASE 681,2012/13,Forgery of Documents,Expulsion
681,CASE 681,2012/13,Forgery of Documents,Grade Assignment of 0 for course
681,CASE 681,2012/13,Forgery of Documents,Suspension
684,Case 684 - Appeal,2013/14,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
684,Case 684 - Appeal,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
684,Case 684 - Appeal,2013/14,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
684,Case 684 - Appeal,2013/14,Creating false data and/or fabricating academic sources,Suspension
684,Case 684 - Appeal,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
684,Case 684 - Appeal,2013/14,Plagiarism and/or purchased essay,Suspension
684,CASE 684 - SANCTION REDACTED,2012/13,Creating false data and/or fabricating academic sources,Expulsion
684,CASE 684 - SANCTION REDACTED,2012/13,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
684,CASE 684 - SANCTION REDACTED,2012/13,Creating false data and/or fabricating academic sources,Suspension
684,CASE 684 - SANCTION REDACTED,2012/13,Forgery of Documents,Grade Assignment of 0 for course
684,CASE 684 - SANCTION REDACTED,2012/13,Forgery of Documents,Suspension
686,CASE 686,2012/13,Plagiarism and/or purchased essay,Expulsion
686,CASE 686,2012/13,Plagiarism and/or purchased essay,Suspension
686,CASE 686,2012/13,Unauthorized aid,Expulsion
686,CASE 686,2012/13,Unauthorized aid,Suspension
687,case 687,2013/14,Forgery of Academic Records,Notation on transcript
687,case 687,2013/14,Forgery of Academic Records,Suspension
689,CASE 689,2012/13,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
689,CASE 689,2012/13,Academic Dishonesty Not Otherwise Described,Notation on transcript
689,CASE 689,2012/13,Academic Dishonesty Not Otherwise Described,Suspension
689,CASE 689,2012/13,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
689,CASE 689,2012/13,Creating false data and/or fabricating academic sources,Notation on transcript
689,CASE 689,2012/13,Creating false data and/or fabricating academic sources,Suspension
689,CASE 689,2012/13,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
689,CASE 689,2012/13,Plagiarism and/or purchased essay,Notation on transcript
689,CASE 689,2012/13,Plagiarism and/or purchased essay,Suspension
690,Case 690 - Appeal,2014/15,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
690,Case 690 - Appeal,2014/15,Creating false data and/or fabricating academic sources,Notation on transcript
690,Case 690 - Appeal,2014/15,Creating false data and/or fabricating academic sources,Suspension
690,Case 690 - Appeal,2014/15,Forgery of Documents,Grade Assignment of 0 for course
690,Case 690 - Appeal,2014/15,Forgery of Documents,Notation on transcript
690,Case 690 - Appeal,2014/15,Forgery of Documents,Suspension
690,CASE 690 - Being Appealed,2013/14,Creating false data and/or fabricating academic sources,Expulsion
690,CASE 690 - Being Appealed,2013/14,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
690,CASE 690 - Being Appealed,2013/14,Creating false data and/or fabricating academic sources,Notation on transcript
690,CASE 690 - Being Appealed,2013/14,Creating false data and/or fabricating academic sources,Suspension
690,CASE 690 - Being Appealed,2013/14,Forgery of Documents,Expulsion
690,CASE 690 - Being Appealed,2013/14,Forgery of Documents,Grade Assignment of 0 for course
690,CASE 690 - Being Appealed,2013/14,Forgery of Documents,Notation on transcript
690,CASE 690 - Being Appealed,2013/14,Forgery of Documents,Suspension
691,Case 691,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
691,Case 691,2013/14,Plagiarism and/or purchased essay,Notation on transcript
691,Case 691,2013/14,Plagiarism and/or purchased essay,Suspension
692,Case 692,2013/14,Creating false data and/or fabricating academic sources,Expulsion
692,Case 692,2013/14,Creating false data and/or fabricating academic sources,Suspension
692,Case 692,2013/14,Forgery of Academic Records,Expulsion
692,Case 692,2013/14,Forgery of Academic Records,Suspension
696,CASE 696,2013/14,Forgery of Documents,Grade Assignment of 0 for course
696,CASE 696,2013/14,Forgery of Documents,Notation on transcript
696,CASE 696,2013/14,Forgery of Documents,Suspension
697,Case 697 SANCTION,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
697,Case 697 SANCTION,2013/14,Plagiarism and/or purchased essay,Notation on transcript
697,Case 697 SANCTION,2013/14,Plagiarism and/or purchased essay,Suspension
699,CASE 699,2013/14,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
699,CASE 699,2013/14,Creating false data and/or fabricating academic sources,Notation on transcript
699,CASE 699,2013/14,Creating false data and/or fabricating academic sources,Suspension
699,CASE 699,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
699,CASE 699,2013/14,Plagiarism and/or purchased essay,Notation on transcript
699,CASE 699,2013/14,Plagiarism and/or purchased essay,Suspension
702,CASE 702,2012/13,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
702,CASE 702,2012/13,Academic Dishonesty Not Otherwise Described,Notation on transcript
702,CASE 702,2012/13,Academic Dishonesty Not Otherwise Described,Suspension
702,CASE 702,2012/13,Forgery of Documents,Grade Assignment of 0 for course
702,CASE 702,2012/13,Forgery of Documents,Notation on transcript
702,CASE 702,2012/13,Forgery of Documents,Suspension
706,CASE 706,2012/13,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
706,CASE 706,2012/13,Academic Dishonesty Not Otherwise Described,Suspension
706,CASE 706,2012/13,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
706,CASE 706,2012/13,Plagiarism and/or purchased essay,Suspension
707,Case 707,2013/14,Academic Dishonesty Not Otherwise Described,Expulsion
707,Case 707,2013/14,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
707,Case 707,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
707,Case 707,2013/14,Plagiarism and/or purchased essay,Expulsion
707,Case 707,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
707,Case 707,2013/14,Plagiarism and/or purchased essay,Suspension
708,Case 708,2013/14,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
708,Case 708,2013/14,Academic Dishonesty Not Otherwise Described,Notation on transcript
708,Case 708,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
708,Case 708,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
708,Case 708,2013/14,Plagiarism and/or purchased essay,Notation on transcript
708,Case 708,2013/14,Plagiarism and/or purchased essay,Suspension
708,Case 708,2013/14,Providing Unauthorized Assistance,Grade Assignment of 0 for course
708,Case 708,2013/14,Providing Unauthorized Assistance,Notation on transcript
708,Case 708,2013/14,Providing Unauthorized Assistance,Suspension
708,Case 708,2013/14,Unauthorized aid,Grade Assignment of 0 for course
708,Case 708,2013/14,Unauthorized aid,Notation on transcript
708,Case 708,2013/14,Unauthorized aid,Suspension
709,Case 709 - APPEAL,2017/18,Plagiarism and/or purchased essay,Degree suspension or recall
709,Case 709 - APPEAL,2017/18,Plagiarism and/or purchased essay,Denial of Privileges
709,Case 709 - APPEAL,2017/18,Plagiarism and/or purchased essay,Expulsion
709,Case 709 - APPEAL,2017/18,Plagiarism and/or purchased essay,Notation on transcript
709,Case 709 . . . Case 709 - APPEAL,2016/17,Plagiarism and/or purchased essay,Degree suspension or recall
709,Case 709 . . . Case 709 - APPEAL,2016/17,Plagiarism and/or purchased essay,Expulsion
709,Case 709 . . . Case 709 - APPEAL,2016/17,Plagiarism and/or purchased essay,Notation on transcript
710,Case 710,2014/15,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
710,Case 710,2014/15,Academic Dishonesty Not Otherwise Described,Notation on transcript
710,Case 710,2014/15,Academic Dishonesty Not Otherwise Described,Suspension
710,Case 710,2014/15,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
710,Case 710,2014/15,Creating false data and/or fabricating academic sources,Notation on transcript
710,Case 710,2014/15,Creating false data and/or fabricating academic sources,Suspension
710,Case 710,2014/15,Forgery of Academic Records,Grade Assignment of 0 for course
710,Case 710,2014/15,Forgery of Academic Records,Notation on transcript
710,Case 710,2014/15,Forgery of Academic Records,Suspension
711,CASE 711,2014/15,Forgery of Documents,Expulsion
711,CASE 711,2014/15,Forgery of Documents,Suspension
711,CASE 711,2014/15,Plagiarism and/or purchased essay,Expulsion
711,CASE 711,2014/15,Plagiarism and/or purchased essay,Suspension
713,Case 713,2013/14,Academic Dishonesty Not Otherwise Described,Expulsion
713,Case 713,2013/14,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
713,Case 713,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
713,Case 713,2013/14,Forgery of Documents,Expulsion
713,Case 713,2013/14,Forgery of Documents,Grade Assignment of 0 for course
713,Case 713,2013/14,Forgery of Documents,Suspension
714,CASE 714,2013/14,Academic Dishonesty Not Otherwise Described,Notation on transcript
714,CASE 714,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
714,CASE 714,2013/14,Creating false data and/or fabricating academic sources,Notation on transcript
714,CASE 714,2013/14,Creating false data and/or fabricating academic sources,Suspension
718,Case 718 - Appeal . . . Case 718,2015/16,Academic Dishonesty Not Otherwise Described,Acquittal
718,Case 718,2015/16,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
718,Case 718,2015/16,Academic Dishonesty Not Otherwise Described,Notation on transcript
718,Case 718,2015/16,Academic Dishonesty Not Otherwise Described,Suspension
718,Case 718 - Appeal . . . Case 718,2015/16,Plagiarism and/or purchased essay,Acquittal
718,Case 718,2015/16,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
718,Case 718,2015/16,Plagiarism and/or purchased essay,Notation on transcript
718,Case 718,2015/16,Plagiarism and/or purchased essay,Suspension
718,Case 718 - Appeal . . . Case 718,2015/16,Unauthorized aid,Acquittal
718,Case 718,2015/16,Unauthorized aid,Grade Assignment of 0 for course
718,Case 718,2015/16,Unauthorized aid,Notation on transcript
718,Case 718,2015/16,Unauthorized aid,Suspension
718,Case 718 . . . Case 718 - Appeal,2014/15,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
718,Case 718 . . . Case 718 - Appeal,2014/15,Academic Dishonesty Not Otherwise Described,Notation on transcript
718,Case 718 . . . Case 718 - Appeal,2014/15,Academic Dishonesty Not Otherwise Described,Suspension
718,Case 718 . . . Case 718 - Appeal,2014/15,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
718,Case 718 . . . Case 718 - Appeal,2014/15,Plagiarism and/or purchased essay,Notation on transcript
718,Case 718 . . . Case 718 - Appeal,2014/15,Plagiarism and/or purchased essay,Suspension
718,Case 718 . . . Case 718 - Appeal,2014/15,Unauthorized aid,Grade Assignment of 0 for course
718,Case 718 . . . Case 718 - Appeal,2014/15,Unauthorized aid,Notation on transcript
718,Case 718 . . . Case 718 - Appeal,2014/15,Unauthorized aid,Suspension
719,Case 719 - APPEAL,2017/18,Creating false data and/or fabricating academic sources,Expulsion
719,Case 719 - APPEAL,2017/18,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
719,Case 719 - APPEAL,2017/18,Creating false data and/or fabricating academic sources,Notation on transcript
719,Case 719 - APPEAL,2017/18,Creating false data and/or fabricating academic sources,Suspension
719,Case 719 - APPEAL,2017/18,Plagiarism and/or purchased essay,Expulsion
719,Case 719 - APPEAL,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
719,Case 719 - APPEAL,2017/18,Plagiarism and/or purchased essay,Notation on transcript
719,Case 719 - APPEAL,2017/18,Plagiarism and/or purchased essay,Suspension
719,Case 719 . . . Case 719 - APPEAL,2016/17,Forgery of Documents,Expulsion
719,Case 719 . . . Case 719 - APPEAL,2016/17,Plagiarism and/or purchased essay,Expulsion
721,Case 721,2014/15,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
721,Case 721,2014/15,Plagiarism and/or purchased essay,Notation on transcript
721,Case 721,2014/15,Plagiarism and/or purchased essay,Suspension
722,Case 722,2013/14,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
722,Case 722,2013/14,Academic Dishonesty Not Otherwise Described,Notation on transcript
722,Case 722,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
722,Case 722,2013/14,Impersonation,Grade Assignment of 0 for course
722,Case 722,2013/14,Impersonation,Notation on transcript
722,Case 722,2013/14,Impersonation,Suspension
722,Case 722,2013/14,Unauthorized aid,Grade Assignment of 0 for course
722,Case 722,2013/14,Unauthorized aid,Notation on transcript
722,Case 722,2013/14,Unauthorized aid,Suspension
724,CASE 724,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
724,CASE 724,2013/14,Plagiarism and/or purchased essay,Notation on transcript
724,CASE 724,2013/14,Plagiarism and/or purchased essay,Suspension
724,CASE 724,2013/14,Unauthorized aid,Grade Assignment of 0 for course
724,CASE 724,2013/14,Unauthorized aid,Notation on transcript
724,CASE 724,2013/14,Unauthorized aid,Suspension
725,Case 725,2013/14,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
725,Case 725,2013/14,Academic Dishonesty Not Otherwise Described,Notation on transcript
725,Case 725,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
725,Case 725,2013/14,Unauthorized aid,Grade Assignment of 0 for course
725,Case 725,2013/14,Unauthorized aid,Notation on transcript
725,Case 725,2013/14,Unauthorized aid,Suspension
726,Case 726,2013/14,Forgery of Academic Records,Expulsion
726,Case 726,2013/14,Forgery of Academic Records,Notation on transcript
726,Case 726,2013/14,Forgery of Academic Records,Suspension
727,Case 727,2014/15,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
727,Case 727,2014/15,Plagiarism and/or purchased essay,Notation on transcript
727,Case 727,2014/15,Plagiarism and/or purchased essay,Suspension
728,Case 728,2013/14,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
728,Case 728,2013/14,Academic Dishonesty Not Otherwise Described,Notation on transcript
728,Case 728,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
728,Case 728,2013/14,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
728,Case 728,2013/14,Creating false data and/or fabricating academic sources,Notation on transcript
728,Case 728,2013/14,Creating false data and/or fabricating academic sources,Suspension
728,Case 728,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
728,Case 728,2013/14,Plagiarism and/or purchased essay,Notation on transcript
728,Case 728,2013/14,Plagiarism and/or purchased essay,Suspension
729,Case 729,2013/14,Academic Dishonesty Not Otherwise Described,Expulsion
729,Case 729,2013/14,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
729,Case 729,2013/14,Academic Dishonesty Not Otherwise Described,Suspension
729,Case 729,2013/14,Plagiarism and/or purchased essay,Expulsion
729,Case 729,2013/14,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
729,Case 729,2013/14,Plagiarism and/or purchased essay,Suspension
729,Case 729,2013/14,Providing Unauthorized Assistance,Expulsion
729,Case 729,2013/14,Providing Unauthorized Assistance,Grade Assignment of 0 for course
729,Case 729,2013/14,Providing Unauthorized Assistance,Suspension
729,Case 729,2013/14,Unauthorized aid,Expulsion
729,Case 729,2013/14,Unauthorized aid,Grade Assignment of 0 for course
729,Case 729,2013/14,Unauthorized aid,Suspension
732,Case 732,2013/14,Unauthorized aid,Grade Assignment of 0 for course
732,Case 732,2013/14,Unauthorized aid,Grade Assignment of 0 for course
732,Case 732,2013/14,Unauthorized aid,Notation on transcript
732,Case 732,2013/14,Unauthorized aid,Suspension
733,Case 733,2014/15,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
733,Case 733,2014/15,Academic Dishonesty Not Otherwise Described,Notation on transcript
733,Case 733,2014/15,Academic Dishonesty Not Otherwise Described,Suspension
